Player,0,Ultra,apple,24/01/23 07:57:11
Player,1,Ultra,banana,24/01/23 07:57:32
Player,5,Hard,banana,24/01/23 07:57:58
Player,7,Hard,banana,24/01/23 07:58:43
Player,3,Hard,banana,24/01/23 07:59:00
Player,13,Hard,banana,24/01/23 07:59:38
Player,0,Ultra,mouse,24/01/23 07:59:53
Player,0,Ultra,mouse,24/01/23 07:59:59
Player,0,Ultra,mouse,24/01/23 08:00:06
Player,1,Ultra,mouse,24/01/23 08:00:14
Player,1,Hard,banana,24/01/23 16:34:03
Player,2,Hard,cherry,24/01/23 17:50:19
Player,0,Easy,apple,26/01/23 13:14:27
Player,1,Hard,apple,31/01/23 16:42:13
Player,0,Easy,apple,03/02/23 20:17:39
Player,1,Easy,apple,03/02/23 20:17:53
Player,2,Easy,apple,04/02/23 01:12:00
Player,3,Easy,apple,04/02/23 01:14:18
Player,0,Easy,apple,04/02/23 01:31:47
Player,1,Easy,apple,04/02/23 01:40:49
Player,3,Easy,apple,04/02/23 01:43:58
Player,0,Easy,cherry,04/02/23 01:47:00
Player,2,Easy,cherry,05/02/23 15:15:04
Player,7,Easy,cherry,05/02/23 16:04:58
Player,0,Easy,apple,05/02/23 16:05:24
Player,11,Hard,apple,05/02/23 16:05:52
